Input_name	Refmet	LipidlynxX	MetaboAnalyst
TG 16:0_18:0_18:1	TG 16:0_18:0_18:1	TG(16:0_18:0_18:1)	TG(16:0_18:0_18:1)
TG 16:0_18:1_18:1	TG 16:0_18:1_18:1	TG(16:0_18:1_18:1)	TG(16:0_18:1_18:1)
TG 16:0_18:1_18:2	TG 16:0_18:1_18:2	TG(16:0_18:1_18:2)	TG(16:0_18:1_18:2)
TG 16:0_18:1_20:4	TG 16:0_18:1_20:4	TG(16:0_18:1_20:4)	TG(16:0_18:1_20:4)
TG 16:0_18:1_22:4	TG 16:0_18:1_22:4	TG(16:0_18:1_22:4)	TG(16:0_18:1_22:4)
TG 16:0_18:1_22:6	TG 16:0_18:1_22:6	TG(16:0_18:1_22:6)	TG(16:0_18:1_22:6)
TG 16:0_18:2_20:4	TG 16:0_18:2_20:4	TG(16:0_18:2_20:4)	TG(16:0_18:2_20:4)
TG 16:0_18:2_22:6	TG 16:0_18:2_22:6	TG(16:0_18:2_22:6)	TG(16:0_18:2_22:6)
TG 16:0_20:4_22:6	TG 16:0_20:4_22:6	TG(16:0_20:4_22:6)	TG(16:0_20:4_22:6)
TG 16:1_18:2_18:3	TG 16:1_18:2_18:3	TG(16:1_18:2_18:3)	TG(16:1_18:2_18:3)
TG 17:0_18:0_18:1	TG 17:0_18:0_18:1	TG(17:0_18:0_18:1)	TG(17:0_18:0_18:1)
TG 17:0_18:1_18:1	TG 17:0_18:1_18:1	TG(17:0_18:1_18:1)	TG(17:0_18:1_18:1)
TG 17:1_18:1_18:1	TG 17:1_18:1_18:1	TG(17:1_18:1_18:1)	TG(17:1_18:1_18:1)
TG 17:1_18:1_18:2	TG 17:1_18:1_18:2	TG(17:1_18:1_18:2)	TG(17:1_18:1_18:2)
TG 18:0_18:0_18:0	TG 18:0/18:0/18:0	TG(18:0/18:0/18:0)	TG(18:0/18:0/18:0)
TG 18:0_18:0_20:4	TG 18:0_18:0_20:4	TG(18:0_18:0_20:4)	TG(18:0_18:0_20:4)
TG 18:0_18:1_18:2	TG 18:0_18:1_18:2	TG(18:0_18:1_18:2)	TG(18:0_18:1_18:2)
TG 18:0_18:1_20:3	TG 18:0_18:1_20:3	TG(18:0_18:1_20:3)	TG(18:0_18:1_20:3)
TG 18:0_18:1_20:4	TG 18:0_18:1_20:4	TG(18:0_18:1_20:4)	TG(18:0_18:1_20:4)
TG 18:1_18:1_18:1	TG 18:1_18:1_18:1	TG(18:1_18:1_18:1)	TG(18:1_18:1_18:1)
TG 18:1_18:1_20:1	TG 18:1_18:1_20:1	TG(18:1_18:1_20:1)	TG(18:1_18:1_20:1)
TG 18:1_18:1_21:0	TG 18:1_18:1_21:0	TG(18:1_18:1_21:0)	TG(18:1_18:1_21:0)
TG 18:1_18:1_22:0	TG 18:1_18:1_22:0	TG(18:1_18:1_22:0)	TG(18:1_18:1_22:0)
TG 18:1_18:1_22:1	TG 18:1_18:1_22:1	TG(18:1_18:1_22:1)	TG(18:1_18:1_22:1)
TG 18:1_18:1_22:4	TG 18:1_18:1_22:4	TG(18:1_18:1_22:4)	TG(18:1_18:1_22:4)
TG 18:1_18:2_20:4	TG 18:1_18:2_20:4	TG(18:1_18:2_20:4)	TG(18:1_18:2_20:4)
TG 18:1_18:2_22:6	TG 18:1_18:2_22:6	TG(18:1_18:2_22:6)	TG(18:1_18:2_22:6)
TG 18:1_22:6_22:6	TG 18:1_22:6_22:6	TG(18:1_22:6_22:6)	TG(18:1_22:6_22:6)
TG 43:0	TG 43:0	TG(43:0)	TG(43:0)
TG 44:0	TG 44:0	TG(44:0)	TG(44:0)
TG 44:1	TG 44:1	TG(44:1)	TG(44:1)
TG 45:1	TG 45:1	TG(45:1)	TG(45:1)
TG 46:1	TG 46:1	TG(46:1)	TG(46:1)
TG 46:2	TG 46:2	TG(46:2)	TG(46:2)
TG 46:3	TG 46:3	TG(46:3)	TG(46:3)
TG 47:0	TG 47:0	TG(47:0)	TG(47:0)
TG 47:1	TG 47:1	TG(47:1)	TG(47:1)
TG 47:3	TG 47:3	TG(47:3)	TG(47:3)
TG 48:1	TG 48:1	TG(48:1)	TG(16:0/16:0/16:1(9Z))
TG 48:2	TG 48:2	TG(48:2)	TG(16:0/16:1(9Z)/16:1(9Z))
TG 48:3	TG 48:3	TG(48:3)	TG(16:1(9Z)/16:1(9Z)/16:1(9Z))
TG 48:4	TG 48:4	TG(48:4)	TG(48:4)
TG 49:1	TG 49:1	TG(49:1)	TG(49:1)
TG 49:2	TG 49:2	TG(49:2)	TG(49:2)
TG 49:3	TG 49:3	TG(49:3)	TG(49:3)
TG 50:2	TG 50:2	TG(50:2)	TG(16:1(9Z)/16:1(9Z)/18:0)
TG 50:3	TG 50:3	TG(50:3)	TG(16:1(9Z)/16:1(9Z)/18:1(9Z))
TG 50:4	TG 50:4	TG(50:4)	TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))
TG 50:5	TG 50:5	TG(50:5)	TG(50:5)
TG 51:1	TG 51:1	TG(51:1)	TG(51:1)
TG 51:2	TG 51:2	TG(51:2)	TG(51:2)
TG 51:3	TG 51:3	TG(51:3)	TG(51:3)
TG 51:4	TG 51:4	TG(51:4)	TG(51:4)
TG 52:3	TG 52:3	TG(52:3)	TG(52:3)
TG 52:4	TG 52:4	TG(52:4)	TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))
TG 52:5	TG 52:5	TG(52:5)	TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))
TG 52:6	TG 52:6	TG(52:6)	TG(52:6)
TG 53:0	TG 53:0	TG(53:0)	TG(53:0)
