"LIPID","C1_HOMBRE","C2_HOMBRE","C3_HOMBRE","C4_HOMBRE","C5_HOMBRE","C6_HOMBRE","C1_MUJER","C2_MUJER","C3_MUJER","C4_MUJER","C5_MUJER","C6_MUJER","ET1_HOMBRE","ET2_HOMBRE","ET3_HOMBRE","ET4_HOMBRE","ET5_HOMBRE","ET6_HOMBRE","ET1_MUJER","ET2_MUJER","ET3_MUJER","ET4_MUJER","ET5_MUJER"
"Cer(44:1;O3)",-18.9385,0.6016178,-18.39229,0.79060745,0.8323803,0.51639557,1.160532,0.53066254,-18.565044,-0.26712418,0,-18.474882,0.47184753,-18.489716,-18.535053,-18.00117,-18.815052,0.8526459,0.55387306,-17.09816,0.025777817,0.64932823,-18.76899
"Cer(45:0;O3)",NA,-0.27967644,0,-0.24686432,NA,-0.24459076,19.597237,-0.4180622,17.676731,-0.5973244,16.56909,17.032473,-0.42731476,-0.09742546,-0.14276314,0.3911209,-0.42276192,NA,18.681053,18.427313,17.692322,17.55284,NA
"Cer(46:0;O3)",NA,0,0.07152939,0.019096375,-0.17285156,-0.24949455,NA,0.09687424,0.04750061,-0.49900818,-0.13988876,-0.15241241,-0.09674072,0.12241554,-0.3028202,1.007782,-0.25605583,0.41799736,0.8272896,0.5064354,-20.357914,-19.792019,-0.55039215
"Cer(46:1;O2)",NA,0.19071388,0.38802338,0.21434975,0.005561829,-0.08501816,NA,-0.34249687,-0.30863,NA,-0.47727394,-0.5363617,0.42437744,NA,-0.2518196,0.7460575,-0.032079697,0.03451729,1.3693695,0.82834053,0.65682983,0,NA
"Cer(46:1;O3)",-0.4034462,-0.1369133,18.070604,-0.10410118,17.721487,-0.10182762,0.11260033,-0.27529907,-0.02999115,NA,-0.23370552,0.060171127,-0.28455162,0.045337677,0,0.53388405,-0.27999878,0.49118423,NA,1.4368935,-0.48753738,0.0783577,-0.23393631
"Cer(48:0;O3)",0.13999939,-0.07019997,0.28175926,0,NA,-0.090566635,NA,0.10188484,-0.032701492,-0.5245609,-0.35079193,0.14463806,-0.03917122,NA,-0.3547516,1.2957344,-0.15394402,0.80809593,0.94254875,0.9930458,0.06964111,0.25602722,-0.52296066
"Cer(48:1;O3)",NA,0,0.35390854,0.081653595,0.18899727,-0.049646378,NA,-0.3923111,-0.36239624,-0.9929943,-0.71369743,-1.0997677,0.74806976,-0.15981293,-0.3349781,1.2270641,-0.390337,0.42149734,NA,0.48283958,0.2954731,0.16449928,NA
"FA-EST 14:0_12:0",NA,-0.06242752,0.21724892,-0.029615402,NA,-0.027341843,0.1870861,-0.2008133,0.04449463,-0.38007545,-0.15921974,0.1346569,-0.21006584,0.119823456,0.07448578,0.6083698,-0.205513,0.56567,0,NA,-0.4130516,0.15284348,-0.15945053
"FA-EST 16:0_12:0",NA,-0.06242752,0.21724892,-0.029615402,NA,-0.027341843,0.1870861,-0.2008133,0.04449463,-0.38007545,-0.15921974,NA,-0.21006584,0.119823456,0.07448578,0.6083698,-0.205513,0.56567,0,NA,-0.4130516,0.15284348,-0.15945053
"FA-EST 16:0_2:0",-0.4075737,-0.2433796,0,-0.1398964,-0.40504074,-0.13157463,0.31000137,-0.080480576,0.24324226,-0.3112278,0.13691902,0.31000137,NA,0.29221535,0.17720795,0.57954407,0.31900978,0.6361332,-0.04932022,0.1502037,-0.5666542,0.06658363,-0.21002579
"FA-EST 16:0_6:0",-0.41446686,-0.22259903,-0.02815628,0.042230606,-0.26589966,0,0.25256348,0.0293293,0.34846306,NA,0.19137192,0.4331398,-0.17096329,0.44339752,0.22613335,0.6277981,NA,0.49267197,-0.09435272,NA,-0.52100754,0.15387726,-0.2985096
"FA-EST 16:0_9:0",NA,-0.0410938265,0.14095497,-0.36835289,-0.071647645,0.14305401,0.50074388,NA,0.512106895,-0.10530567,0.353596685,0.4890585,0.008479117,0.39558314,0.24512005,0.40568733,NA,0.21524333,-0.422823905,NA,-0.185355185,NA,-0.093382835
"FA-EST 18:0_2:0",NA,-0.17677116,0.04063797,0.060503006,-0.31181526,-0.028869629,0.3231697,0.049287796,0.18853188,-0.23226929,0,0.26856804,-0.26691437,0.39969635,0.16954231,NA,0.27186394,0.61693,-0.09741783,-0.10879898,NA,0.059093475,-0.28919983
"FA-EST 18:0_3:0",-0.32896042,-0.06242752,0.21724892,-0.029615402,-0.40906143,-0.027341843,0.1870861,NA,0.04449463,-0.38007545,-0.15921974,0.1346569,-0.21006584,0.119823456,0.07448578,0.6083698,-0.205513,0.56567,0,NA,-0.4130516,0.15284348,-0.15945053
"FA-EST 18:0_6:0",-0.93733025,-0.67079735,-0.3911209,NA,-1.0174313,-0.63571167,-0.42128372,-0.8091831,17.660301,-0.9884453,18.538385,-0.47371292,18.126677,18.49796,18.783764,NA,18.596413,18.93269,-0.6083698,0.9030094,-1.0214214,18.309488,18.003784
